skills,interests,education,career_stage,target_career
Python:4;SQL:3;Statistics:3;Communication:2,Technology;Science,Bachelor's Degree,student,Data Scientist
Python:5;SQL:4;Machine Learning:4;Problem Solving:3,Technology;Science,Master's Degree,recent graduate,Data Scientist
Python:3;SQL:3;Excel:4;Communication:3,Technology;Business,Bachelor's Degree,student,Business Analyst
JavaScript:4;React:3;Node.js:3;Problem Solving:4,Technology;Engineering,Bachelor's Degree,student,Software Engineer
Java:4;Spring:3;SQL:3;Teamwork:3,Technology;Engineering,Master's Degree,professional,Software Engineer
Python:4;Statistics:4;Data Visualization:3;Communication:3,Technology;Science,Bachelor's Degree,student,Data Analyst
SQL:4;Excel:5;Business Analysis:3;Communication:4,Business;Finance,Bachelor's Degree,recent graduate,Business Analyst
Figma:4;Adobe XD:3;UI/UX:4;Communication:3,Design;Technology,Bachelor's Degree,student,UI/UX Designer
Graphic Design:4;Adobe Creative Suite:3;Typography:3;Creativity:4,Design;Arts,Diploma,career switcher,Graphic Designer
AutoCAD:4;Structural Analysis:3;Project Management:3;Teamwork:3,Engineering;Technology,Bachelor's Degree,student,Civil Engineer
Python:5;Deep Learning:4;TensorFlow:4;Research Methods:3,Technology;Science,PhD,professional,AI Researcher
Financial Analysis:4;Excel:5;Accounting:3;Communication:3,Finance;Business,Bachelor's Degree,recent graduate,Financial Analyst
Digital Marketing:4;SEO:3;Social Media Strategy:3;Communication:4,Marketing;Business,Bachelor's Degree,student,Digital Marketing Specialist
Patient Care:4;Medical Terminology:3;Anatomy:3;Teamwork:4,Healthcare;Science,Diploma,student,Registered Nurse
Curriculum Development:4;Classroom Management:3;Educational Psychology:3;Communication:4,Education;Social Sciences,Bachelor's Degree,professional,Teacher
Python:3;SQL:3;Excel:4;Problem Solving:3,Technology;Business,Bachelor's Degree,student,Data Analyst
JavaScript:3;React:3;HTML/CSS:4;Communication:3,Technology;Design,Bachelor's Degree,student,Front-end Developer
Python:4;Django:3;SQL:3;Teamwork:3,Technology;Engineering,Master's Degree,recent graduate,Backend Developer
Cybersecurity:4;Linux:3;Python:3;Problem Solving:4,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
