skills,interests,education,career_stage,target_career
Agile:1;Creativity:1;Data Visualization:5;JavaScript:1;Machine Learning:4;Python:4;SQL:5;Statistics:5;UI/UX:2,Technology;Science;Engineering,Master's Degree,student,Data Scientist
Business Analysis:2;Data Visualization:3;Excel:5;Financial Analysis:1;Linux:2;Python:4;React:1;SEO:1;SQL:4;Statistics:4;UI/UX:1,Technology;Business,Bachelor's Degree,recent graduate,Data Analyst
Adobe Creative Suite:1;Agile:3;Communication:4;Creativity:1;Cybersecurity:1;Leadership:4;Project Management:5;Risk Management:4;SEO:1,Business;Management,Bachelor's Degree,professional,Project Manager
Accounting:2;Business Analysis:2;Cybersecurity:1;Data Visualization:4;Excel:4;Machine Learning:1;Python:3;SQL:4;Statistics:4,Technology;Business;Engineering,Bachelor's Degree,student,Data Analyst
Business Analysis:5;Communication:5;Creativity:2;Excel:5;Financial Analysis:1;Java:1;Leadership:2;Project Management:4;Python:2;SQL:5,Business;Technology,Master's Degree,student,Business Analyst
Communication:1;Creativity:2;Data Visualization:3;Excel:5;Problem Solving:1;Python:3;SQL:5;Social Media Strategy:2;Statistics:5;UI/UX:2,Technology;Business;Design,Master's Degree,professional,Data Analyst
Digital Marketing:1;Excel:1;Graphic Design:1;Java:5;JavaScript:4;Problem Solving:2;Project Management:1;Python:4;React:4;SEO:2;SQL:2;Social Media Strategy:1,Technology;Engineering,Bachelor's Degree,recent graduate,Software Engineer
Accounting:5;Agile:1;Analytics:2;Communication:3;Excel:5;Financial Analysis:5;Graphic Design:2;Python:2;SEO:2;Statistics:4;User Research:1,Finance;Business;Education,Master's Degree,student,Financial Analyst
Agile:4;Analytics:2;Business Analysis:1;Communication:5;Data Visualization:2;Leadership:4;Linux:2;Machine Learning:2;Project Management:4;Risk Management:2,Business;Management,Master's Degree,career switcher,Project Manager
Agile:1;Creativity:2;Data Visualization:3;Financial Analysis:1;Leadership:2;Machine Learning:5;Network Security:2;Project Management:1;Python:4;SQL:3;Statistics:4,Technology;Science,Master's Degree,professional,Data Scientist
Accounting:4;Communication:4;Excel:5;Financial Analysis:4;Linux:2;Statistics:3;Typography:1;UI/UX:1,Finance;Business,Bachelor's Degree,student,Financial Analyst
Adobe Creative Suite:5;Business Analysis:2;Communication:3;Creativity:5;Data Visualization:2;Graphic Design:5;Java:2;Linux:1;Problem Solving:2;React:2;SEO:1;Statistics:1;Typography:4,Design;Arts;Marketing,Diploma,student,Graphic Designer
Accounting:1;Analytics:2;Communication:5;Creativity:1;Digital Marketing:5;Network Security:2;Risk Management:1;SEO:4;Social Media Strategy:5;Statistics:2;Typography:1,Marketing;Business,Diploma,professional,Marketing Specialist
Analytics:3;Communication:5;Digital Marketing:4;JavaScript:2;Linux:1;React:2;SEO:5;Social Media Strategy:4,Marketing;Business,Diploma,recent graduate,Marketing Specialist
Agile:5;Communication:5;Cybersecurity:2;Graphic Design:2;Leadership:4;Linux:1;Project Management:4;Risk Management:4;SQL:1;User Research:2,Business;Management,Master's Degree,career switcher,Project Manager
Agile:5;Communication:5;Leadership:3;Machine Learning:1;Network Security:2;Project Management:5;Python:2;Risk Management:2;Statistics:1,Business;Management,Master's Degree,professional,Project Manager
Agile:5;Communication:5;Creativity:1;Digital Marketing:1;Financial Analysis:1;JavaScript:2;Leadership:5;Project Management:5;Python:1;Risk Management:3;Typography:2,Business;Management;Engineering,Master's Degree,career switcher,Project Manager
Agile:4;Communication:5;Digital Marketing:1;Excel:1;Graphic Design:2;JavaScript:1;Leadership:5;Machine Learning:1;Project Management:5;Risk Management:4;SQL:1,Business;Management,Bachelor's Degree,professional,Project Manager
Accounting:2;Adobe Creative Suite:2;Business Analysis:4;Communication:3;Excel:5;Network Security:2;Project Management:2;Python:2;SQL:5;Social Media Strategy:2;Statistics:2,Business;Technology,Master's Degree,professional,Business Analyst
Cybersecurity:5;Digital Marketing:1;Java:2;Linux:4;Network Security:5;Problem Solving:5;Project Management:1;Python:2;SEO:1,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
